,full_address,neighborhood,nid,sale_price,prediction,difference,shap
1123,"2 Rosella Ct, San Francisco, CA 94112",10 - Mission Terrace,10080,1032000,1002163,-29836,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10080  Cons: 1) comp_price = 824736 2) latitude = 37.72222 3) lot_sf = 2164.0 
1124,"706 London St, San Francisco, CA 94112",10 - Excelsior,10030,1000000,953525,-46474,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 912181 2) latitude = 37.717968 3) rooms = 10.0 
1125,"492 Douglass St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,4300000,4266416,-33583,Pros: 1) comp_price = 5243923 2) year_sold = 2018 3) baths = 4.5  Cons: 1) lot_sf = 2299.0 2) street_name = Douglass 3) nid = 5100 
1126,"4449 25th St, San Francisco, CA 94114",5 - Noe Valley,5030,1350000,1593344,243344,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) beds = 1  Cons: 1) baths = 1.0 2) comp_price = 1519949 3) sf = 1075 
1127,"31 Paradise Ave, San Francisco, CA 94131",5 - Glen Park,5010,1650000,1396749,-253250,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 3.0  Cons: 1) comp_price = 1255524 2) baths = 1.0 3) latitude = 37.73513 
1128,"680 Douglass St, San Francisco, CA 94114",5 - Noe Valley,5030,4600000,3351704,-1248295,Pros: 1) comp_price = 4046599 2) year_sold = 2018 3) baths = 5.0  Cons: 1) rooms = 10.0 2) beds = 5 3) street_name = Douglass 
1129,"380 Capistrano Ave, San Francisco, CA 94112",10 - Mission Terrace,10080,1410000,1219679,-190320,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10080  Cons: 1) comp_price = 1077372 2) baths = 1.0 3) latitude = 37.725821999999994 
1130,"147 Monterey Blvd, San Francisco, CA 94131",4 - Sunnyside,4150,1530000,1428206,-101793,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) street_name = Monterey  Cons: 1) comp_price = 1292910 2) latitude = 37.731533 3) lot_sf = 2500.0 
1131,"18 Santa Ysabel Ave, San Francisco, CA 94112",10 - Mission Terrace,10080,1485000,1598167,113167,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10080  Cons: 1) comp_price = 1326877 2) latitude = 37.727109999999996 3) view_count = 1 
1132,"1342 Hayes St, San Francisco, CA 94117",6 - North Panhandle,6060,2600000,2759530,159530,Pros: 1) comp_price = 3205717 2) year_sold = 2018 3) latitude = 37.774902000000004  Cons: 1) rooms = 10.0 2) beds = 4 3) view_count = 1 
1133,"130 Alhambra, San Francisco, CA 94123",7 - Marina,7010,2450000,2876309,426309,Pros: 1) comp_price = 3172678 2) year_sold = 2018 3) latitude = 37.802174  Cons: 1) street_name = Alhambra 2) view_count = 1 3) lot_sf = 2722.0 
1134,"2503 15th St, San Francisco, CA 94114",5 - Corona Heights,5070,3200000,2567363,-632636,Pros: 1) comp_price = 2778551 2) year_sold = 2018 3) latitude = 37.766284999999996  Cons: 1) lot_sf = 2347.0 2) view_count = 1 3) nid = 5070 
1135,"815 Douglass St, San Francisco, CA 94114",5 - Noe Valley,5030,2460000,2215290,-244709,Pros: 1) comp_price = 2412903 2) year_sold = 2018 3) baths = 3.0  Cons: 1) lot_sf = 2500.0 2) street_name = Douglass 3) ds_count = 2 
1136,"818 Duncan St, San Francisco, CA 94131",5 - Noe Valley,5030,2275000,1978487,-296512,Pros: 1) year_sold = 2018 2) comp_price = 2064380 3) park_leased = ONST  Cons: 1) street_name = Duncan 2) nid = 5030 3) beds = 3 
1137,"831 27th St, San Francisco, CA 94131",5 - Noe Valley,5030,2375000,2523080,148080,Pros: 1) comp_price = 2706377 2) year_sold = 2018 3) lot_sf = 4554.0  Cons: 1) rooms = 8.0 2) beds = 4 3) nid = 5030 
1138,"4540 20th St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,2325000,2257435,-67564,Pros: 1) year_sold = 2018 2) comp_price = 2251772 3) baths = 3.0  Cons: 1) lot_sf = 1873.0 2) nid = 5100 3) year_built = 1900 
1139,"4540 20th St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,1550000,1844983,294983,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) lot_sf = 1873.0 2) sf = 1050 3) nid = 5100 
1140,"120 Alhambra St, San Francisco, CA 94123",7 - Marina,7010,3150000,2971755,-178244,Pros: 1) comp_price = 3308474 2) year_sold = 2018 3) latitude = 37.802273  Cons: 1) street_name = Alhambra 2) view_count = 1 3) beds = 3 
1141,"4536 20th St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,1450000,1910018,460018,Pros: 1) year_sold = 2018 2) comp_price = 2160198 3) latitude = 37.75747  Cons: 1) lot_sf = 1873.0 2) park_leased = 0 3) beds = 4 
1142,"887 Douglass St, San Francisco, CA 94114",5 - Noe Valley,5030,2425000,2095489,-329510,Pros: 1) comp_price = 2420645 2) year_sold = 2018 3) park_leased = ONST  Cons: 1) lot_sf = 2200.0 2) street_name = Douglass 3) view_count = 1 
1143,"2637 Pierce St, San Francisco, CA 94123",7 - Pacific Heights,7020,8500000,5741329,-2758670,Pros: 1) comp_price = 7625355 2) year_sold = 2018 3) baths = 4.5  Cons: 1) rooms = 9.5 2) beds = 5 3) street_name = Pierce 
1144,"1266 Naples St, San Francisco, CA 94112-4447",10 - Crocker Amazon,10020,1350000,1063311,-286688,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10020  Cons: 1) comp_price = 908331 2) latitude = 37.71136 3) baths = 1.0 
1145,"646 London St, San Francisco, CA 94112-3412",10 - Excelsior,10030,1040000,1090114,50114,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 946139 2) latitude = 37.718872 3) baths = 1.0 
1146,"300 Sussex St, San Francisco, CA 94131",5 - Glen Park,5010,3855000,2264837,-1590162,Pros: 1) comp_price = 2363866 2) year_sold = 2018 3) baths = 3.5  Cons: 1) beds = 5 2) latitude = 37.736763 3) rooms = 7.0 
1147,"31 San Gabriel Ave, San Francisco, CA 94112",10 - Mission Terrace,10080,1115000,1190857,75857,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10080  Cons: 1) comp_price = 910220 2) baths = 1.0 3) latitude = 37.728972999999996 
1148,"178 Eureka St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,2332000,1828760,-503239,Pros: 1) year_sold = 2018 2) comp_price = 2021408 3) park_leased = ONST  Cons: 1) baths = 1.25 2) rooms = 7.0 3) street_name = Eureka 
1149,"1050 Page St, San Francisco, CA 94117",5 - Haight Ashbury,5020,3375000,3221465,-153534,Pros: 1) comp_price = 3896555 2) year_sold = 2018 3) latitude = 37.7721  Cons: 1) rooms = 9.0 2) beds = 5 3) view_count = 1 
1150,"234 Eureka St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,3295000,2544055,-750944,Pros: 1) comp_price = 2765774 2) year_sold = 2018 3) baths = 3.5  Cons: 1) rooms = 7.5 2) beds = 4 3) street_name = Eureka 
1151,"1225 Douglass St, San Francisco, CA 94131",5 - Noe Valley,5030,1810000,1679357,-130642,Pros: 1) year_sold = 2018 2) view_count = 9 3) park_leased = ONST  Cons: 1) comp_price = 1557774 2) lot_sf = 2238.0 3) street_name = Douglass 
1152,"130 Swiss Ave, San Francisco, CA 94131",5 - Glen Park,5010,1660000,1437390,-222609,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) lot_sf = 3410.0  Cons: 1) comp_price = 1229670 2) latitude = 37.73641 3) street_name = Swiss 
1153,"780 Elizabeth St, San Francisco, CA 94114",5 - Noe Valley,5030,2450000,2324979,-125020,Pros: 1) comp_price = 2804819 2) year_sold = 2018 3) park_leased = ONST  Cons: 1) rooms = 11.0 2) street_name = Elizabeth 3) ds_count = 2 
1154,"807 Lisbon St, San Francisco, CA 94112",10 - Excelsior,10030,800000,1209539,409539,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 1122429 2) latitude = 37.716190000000005 3) baths = 1.0 
1155,"1338 Douglass St, San Francisco, CA 94131",5 - Noe Valley,5030,1445000,1791149,346149,Pros: 1) year_sold = 2018 2) comp_price = 1998943 3) park_leased = ONST  Cons: 1) lot_sf = 1964.0 2) baths = 1.5 3) street_name = Douglass 
1156,"4394 26th St, San Francisco, CA 94131",5 - Noe Valley,5030,3400000,2484828,-915171,Pros: 1) comp_price = 2765611 2) year_sold = 2018 3) baths = 3.5  Cons: 1) lot_sf = 1663.0 2) rooms = 8.0 3) beds = 4 
1157,"1087 Prague St, San Francisco, CA 94112",10 - Crocker Amazon,10020,1185000,1104458,-80541,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10020  Cons: 1) comp_price = 902133 2) latitude = 37.710094 3) lot_sf = 2446.0 
1158,"291 Sussex St, San Francisco, CA 94131",5 - Glen Park,5010,1775000,1497759,-277240,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) view_count = 3  Cons: 1) comp_price = 1542323 2) beds = 4 3) latitude = 37.736603 
1159,"225 Rolph St, San Francisco, CA 94112",10 - Crocker Amazon,10020,800000,1103856,303856,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10020  Cons: 1) comp_price = 1008690 2) latitude = 37.71411 3) baths = 1.0 
1160,"4262 23rd St, San Francisco, CA 94114",5 - Noe Valley,5030,3150000,2434315,-715684,Pros: 1) comp_price = 2694908 2) year_sold = 2018 3) park_leased = ONST  Cons: 1) lot_sf = 2453.0 2) rooms = 7.0 3) nid = 5030 
1161,"395 Eureka St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,2007000,2032907,25907,Pros: 1) comp_price = 2446131 2) year_sold = 2018 3) park_leased = ONST  Cons: 1) lot_sf = 1672.0 2) rooms = 8.0 3) street_name = Eureka 
1162,"1071 Prague St, San Francisco, CA 94112",10 - Crocker Amazon,10020,1115000,1101194,-13805,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10020  Cons: 1) comp_price = 927376 2) latitude = 37.7101 3) baths = 1.0 
1163,"167 Hamerton Ave, San Francisco, CA 94131",5 - Glen Park,5010,1700000,1431817,-268182,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) view_count = 3  Cons: 1) comp_price = 1394048 2) latitude = 37.733475 3) lot_sf = 2500.0 
1164,"764 Elizabeth St, San Francisco, CA 94114",5 - Noe Valley,5030,2125000,2106409,-18590,Pros: 1) comp_price = 2403521 2) year_sold = 2018 3) park_leased = ONST  Cons: 1) baths = 1.5 2) view_count = 1 3) street_name = Elizabeth 
1165,"1185 Naples St, San Francisco, CA 94112-4456",10 - Crocker Amazon,10020,1200000,1617533,417533,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) latitude = 37.712047999999996 2) beds = 4 3) comp_price = 1574119 
1166,"784 Cayuga Ave, San Francisco, CA 94112",10 - Mission Terrace,10080,1925000,1869438,-55561,Pros: 1) year_sold = 2018 2) baths = 4.0 3) park_leased = ONST  Cons: 1) latitude = 37.725513 2) beds = 4 3) view_count = 1 
1167,"463 Eureka St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,3700000,3201488,-498511,Pros: 1) comp_price = 3935525 2) year_sold = 2018 3) baths = 3.75  Cons: 1) rooms = 9.0 2) beds = 4 3) street_name = Eureka 
1168,"766 Lisbon St, San Francisco, CA 94112",10 - Excelsior,10030,810000,1130210,320210,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 1002589 2) latitude = 37.716682 3) baths = 1.0 
1169,"506 Eureka St, San Francisco, CA 94114-3147",5 - Noe Valley,5030,2320000,2135678,-184321,Pros: 1) comp_price = 2377783 2) year_sold = 2018 3) baths = 3.5  Cons: 1) rooms = 9.0 2) lot_sf = 1777.0 3) street_name = Eureka 
1170,"787 27th St, San Francisco, CA 94131",5 - Noe Valley,5030,2350000,2032659,-317340,Pros: 1) year_sold = 2018 2) comp_price = 2226775 3) park_leased = ONST  Cons: 1) beds = 4 2) lot_sf = 2538.0 3) ds_count = 2 
1171,"26 Cervantes Blvd, San Francisco, CA 94123",7 - Marina,7010,2725000,2982485,257485,Pros: 1) comp_price = 3270270 2) year_sold = 2018 3) latitude = 37.80318  Cons: 1) view_count = 1 2) street_name = Cervantes 3) lot_sf = 2665.0 
1172,"769 Cayuga Ave, San Francisco, CA 94112",10 - Mission Terrace,10080,1260000,1227553,-32446,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10080  Cons: 1) comp_price = 1081674 2) baths = 1.0 3) latitude = 37.725792 
1173,"65 Hiliritas Ave, San Francisco, CA 94131",5 - Glen Park,5010,3300000,2357839,-942160,Pros: 1) comp_price = 2545226 2) year_sold = 2018 3) baths = 3.5  Cons: 1) rooms = 7.5 2) beds = 4 3) latitude = 37.737614 
1174,"55 Hiliritas Ave, San Francisco, CA 94131-2612",5 - Glen Park,5010,3250000,2319902,-930097,Pros: 1) comp_price = 2444385 2) year_sold = 2018 3) baths = 3.5  Cons: 1) rooms = 7.5 2) beds = 4 3) latitude = 37.737705 
1175,"35 Hiliritas Ave, San Francisco, CA 94131-2612",5 - Glen Park,5010,1650000,2043946,393946,Pros: 1) year_sold = 2018 2) comp_price = 2253657 3) baths = 3.0  Cons: 1) rooms = 8.0 2) beds = 4 3) latitude = 37.73785 
1176,"258 Sussex St, San Francisco, CA 94131",5 - Glen Park,5010,1400000,1325497,-74502,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) beds = 2  Cons: 1) comp_price = 1354964 2) baths = 1.0 3) lot_sf = 2374.0 
1177,"549 Jersey St, San Francisco, CA 94114",5 - Noe Valley,5030,2670000,2175896,-494103,Pros: 1) comp_price = 2474512 2) year_sold = 2018 3) park_leased = ONST  Cons: 1) street_name = Jersey 2) view_count = 1 3) nid = 5030 
1178,"50 Circular Ave, San Francisco, CA 94131",5 - Glen Park,5010,975000,1130893,155893,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) beds = 2  Cons: 1) comp_price = 1142439 2) baths = 1.0 3) lot_sf = 1607.0 
1179,"94 Joost Ave, San Francisco, CA 94131",5 - Glen Park,5010,1325000,1159173,-165826,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) comp_price = 1147199 2) lot_sf = 1245.0 3) baths = 1.0 
1180,"4242 24th St, San Francisco, CA 94114",5 - Noe Valley,5030,2225000,1890125,-334874,Pros: 1) year_sold = 2018 2) comp_price = 1900188 3) park_leased = ONST  Cons: 1) sf = 1325 2) view_count = 1 3) nid = 5030 
1181,"1147 Naples St, San Francisco, CA 94112-4401",10 - Crocker Amazon,10020,1000000,1136169,136169,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10020  Cons: 1) comp_price = 1079482 2) latitude = 37.712740000000004 3) beds = 4 
1182,"174 Arbor St, San Francisco, CA 94131",5 - Glen Park,5010,1425000,1342446,-82553,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) beds = 2  Cons: 1) comp_price = 1442498 2) baths = 1.0 3) lot_sf = 1855.0 
1183,"15 Hiliritas, San Francisco, CA 94131",5 - Glen Park,5010,3635000,2362720,-1272279,Pros: 1) comp_price = 2676752 2) year_sold = 2018 3) baths = 4.5  Cons: 1) rooms = 10.0 2) beds = 5 3) latitude = 37.737823 
1184,"191 Topaz Way, San Francisco, CA 94131",4 - Diamond Heights,4020,1620000,1883816,263816,Pros: 1) year_sold = 2018 2) comp_price = 1803114 3) view_count = 8  Cons: 1) rooms = 7.0 2) nid = 4020 3) street_name = Topaz 
1185,"2285 Greenwich St, San Francisco, CA 94123",7 - Cow Hollow,7040,2150000,2563671,413671,Pros: 1) comp_price = 2861741 2) year_sold = 2018 3) latitude = 37.79878  Cons: 1) lot_sf = 1415.0 2) rooms = 7.0 3) view_count = 1 
1186,"90 Joost Ave, San Francisco, CA 94131",5 - Glen Park,5010,1180000,1194946,14946,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) view_count = 5  Cons: 1) comp_price = 1179693 2) lot_sf = 1245.0 3) baths = 1.0 
1187,"11 Hiliritas, San Francisco, CA 94131",5 - Glen Park,5010,3500000,2444472,-1055527,Pros: 1) comp_price = 2651568 2) year_sold = 2018 3) baths = 4.5  Cons: 1) rooms = 9.5 2) beds = 5 3) latitude = 37.737815999999995 
1188,"2330 Diamond St, San Francisco, CA 94131",5 - Glen Park,5010,2350000,2168246,-181753,Pros: 1) comp_price = 2375692 2) year_sold = 2018 3) baths = 3.0  Cons: 1) beds = 4 2) rooms = 7.0 3) latitude = 37.73792 
1189,"145 Santa Rosa Ave, San Francisco, CA 94112",10 - Mission Terrace,10080,1570000,1254483,-315516,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10080  Cons: 1) comp_price = 1167219 2) latitude = 37.72726 3) baths = 1.5 
1190,"211 Divisadero St, San Francisco, CA 94117",5 - Haight Ashbury,5020,2900000,2634623,-265376,Pros: 1) comp_price = 2977892 2) year_sold = 2018 3) baths = 3.5  Cons: 1) rooms = 9.0 2) beds = 4 3) lot_sf = 2495.0 
1191,"172 Chilton Ave, San Francisco, CA 94131",5 - Glen Park,5010,1268000,1344612,76612,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) beds = 2  Cons: 1) comp_price = 1382715 2) baths = 1.0 3) latitude = 37.73316 
1192,"2667 Clay St, San Francisco, CA 94115",7 - Pacific Heights,7020,4400000,3937347,-462652,Pros: 1) comp_price = 4744050 2) year_sold = 2018 3) latitude = 37.790363  Cons: 1) rooms = 9.0 2) beds = 4 3) ds_count = 2 
1193,"1265 Athens St, San Francisco, CA 94112",10 - Crocker Amazon,10020,1418200,1557977,139777,Pros: 1) year_sold = 2018 2) baths = 3.0 3) park_leased = ONST  Cons: 1) latitude = 37.7122 2) rooms = 9.0 3) beds = 5 
1194,"304 Diamond St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,3850000,3381841,-468158,Pros: 1) comp_price = 3983546 2) year_sold = 2018 3) baths = 4.0  Cons: 1) rooms = 10.0 2) street_name = Diamond 3) ds_count = 2 
1195,"2209 Sutter St, San Francisco, CA 94115",6 - Lower Pacific Height,6030,2770000,2174662,-595337,Pros: 1) year_sold = 2018 2) comp_price = 2286860 3) latitude = 37.785633000000004  Cons: 1) lot_sf = 1531.0 2) rooms = 7.0 3) view_count = 1 
1196,"744 Duncan St, San Francisco, CA 94131",5 - Noe Valley,5030,2950000,2311539,-638460,Pros: 1) comp_price = 2628180 2) year_sold = 2018 3) baths = 3.0  Cons: 1) rooms = 8.0 2) beds = 4 3) street_name = Duncan 
1197,"2335 Diamond St, San Francisco, CA 94131",5 - Glen Park,5010,3800000,2390292,-1409707,Pros: 1) comp_price = 2604797 2) year_sold = 2018 3) baths = 3.5  Cons: 1) rooms = 7.5 2) beds = 4 3) latitude = 37.737926 
1198,"2577 California St, San Francisco, CA 94115",7 - Pacific Heights,7020,2550000,2898551,348551,Pros: 1) comp_price = 3377957 2) year_sold = 2018 3) latitude = 37.788540000000005  Cons: 1) rooms = 11.0 2) lot_sf = 1964.0 3) view_count = 1 
1199,"4326 Cesar Chavez St, San Francisco, CA 94131",5 - Noe Valley,5030,5500000,3772698,-1727301,Pros: 1) comp_price = 4486453 2) year_sold = 2018 3) baths = 5.0  Cons: 1) rooms = 10.0 2) beds = 5 3) street_name = Cesar Chavez 
1200,"851 Chenery, San Francisco, CA 94131",5 - Glen Park,5010,3300000,2465393,-834606,Pros: 1) comp_price = 2922308 2) year_sold = 2018 3) baths = 3.5  Cons: 1) beds = 5 2) rooms = 8.5 3) latitude = 37.73492 
1201,"728 27th St, San Francisco, CA 94131",5 - Noe Valley,5030,2475000,2245332,-229667,Pros: 1) year_sold = 2018 2) comp_price = 2280940 3) view_count = 9  Cons: 1) nid = 5030 2) beds = 3 3) zip = 94131 
1202,"124 Drake St, San Francisco, CA 94112",10 - Crocker Amazon,10020,1302000,1200986,-101013,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) lot_sf = 4173.0  Cons: 1) comp_price = 1025987 2) latitude = 37.709790000000005 3) rooms = 8.0 
1203,"2628 Steiner St, San Francisco, CA 94115",7 - Pacific Heights,7020,3177000,3039425,-137574,Pros: 1) comp_price = 3854304 2) year_sold = 2018 3) latitude = 37.793434000000005  Cons: 1) park_leased = 0 2) lot_sf = 2221.0 3) beds = 4 
1204,"725 Duncan St, San Francisco, CA 94131",5 - Noe Valley,5030,4100000,3028748,-1071251,Pros: 1) comp_price = 3430126 2) year_sold = 2018 3) baths = 4.5  Cons: 1) rooms = 8.5 2) beds = 4 3) street_name = Duncan 
1205,"213 Moulton St, San Francisco, CA 94123",7 - Cow Hollow,7040,2650000,2856564,206564,Pros: 1) comp_price = 3102897 2) year_sold = 2018 3) latitude = 37.799377  Cons: 1) lot_sf = 1150.0 2) rooms = 7.0 3) street_name = Moulton 
1206,"118 Russia Ave, San Francisco, CA 94112",10 - Excelsior,10030,1170000,986437,-183562,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 793430 2) latitude = 37.721115000000005 3) baths = 1.0 
1207,"910 Diamond St, San Francisco, CA 94114",5 - Noe Valley,5030,2400000,1692474,-707525,Pros: 1) year_sold = 2018 2) comp_price = 1796559 3) park_leased = ONST  Cons: 1) lot_sf = 1999.0 2) baths = 1.5 3) street_name = Diamond 
1208,"928 Diamond St, San Francisco, CA 94114",5 - Noe Valley,5030,3865000,3389181,-475818,Pros: 1) comp_price = 4427781 2) year_sold = 2018 3) baths = 4.0  Cons: 1) rooms = 12.0 2) beds = 5 3) lot_sf = 2395.0 
1209,"1123 Munich St, San Francisco, CA 94112",10 - Crocker Amazon,10020,1140000,1029206,-110793,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10020  Cons: 1) comp_price = 865164 2) latitude = 37.710743 3) baths = 1.0 
1210,"535 Paris St, San Francisco, CA 94112",10 - Excelsior,10030,1100000,1001709,-98290,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 799121 2) latitude = 37.720245 3) baths = 1.5 
1211,"4031 21st St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,4100000,2766566,-1333433,Pros: 1) comp_price = 3055384 2) year_sold = 2018 3) view_count = 8  Cons: 1) rooms = 9.0 2) ds_count = 2 3) nid = 5100 
1212,"715 Duboce Ave, San Francisco, CA 94117",5 - Buena Vista/Ashbury,5060,2510000,2703675,193675,Pros: 1) comp_price = 3425018 2) year_sold = 2018 3) latitude = 37.769042999999996  Cons: 1) rooms = 9.0 2) park_leased = 0 3) beds = 4 
1213,"256 Theresa St, San Francisco, CA 94112",10 - Mission Terrace,10080,1100000,1356642,256642,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10080  Cons: 1) comp_price = 1385873 2) baths = 1.0 3) latitude = 37.729946000000005 
1214,"261 Collingwood St, San Francisco, CA 94114",5 - Eureka Valley/Dolore,5100,2560000,2478961,-81038,Pros: 1) comp_price = 2642596 2) year_sold = 2018 3) baths = 3.0  Cons: 1) street_name = Collingwood 2) nid = 5100 3) beds = 3 
1215,"2430 Pine St, San Francisco, CA 94115-2624",6 - Lower Pacific Height,6030,3200000,2813933,-386066,Pros: 1) comp_price = 3220108 2) year_sold = 2018 3) latitude = 37.787678  Cons: 1) lot_sf = 1964.0 2) view_count = 1 3) street_name = Pine 
1216,"586 Lisbon St, San Francisco, CA 94112-3543",10 - Excelsior,10030,1788000,1711612,-76387,Pros: 1) year_sold = 2018 2) baths = 3.5 3) park_leased = ONST  Cons: 1) latitude = 37.719177 2) beds = 6 3) rooms = 9.5 
1217,"951 Naples St, San Francisco, CA 94112",10 - Excelsior,10030,975000,1158976,183976,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 1114947 2) latitude = 37.714806 3) beds = 4 
1218,"748 Madrid St, San Francisco, CA 94112",10 - Excelsior,10030,1025000,1036445,11445,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 798553 2) latitude = 37.717746999999996 3) sf = 815 
1219,"1544 Diamond St, San Francisco, CA 94131",5 - Noe Valley,5030,1575000,1523292,-51707,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) baths = 1.0 2) lot_sf = 1919.0 3) comp_price = 1543114 
1220,"1600 Diamond St, San Francisco, CA 94131",5 - Noe Valley,5030,3695000,3034565,-660434,Pros: 1) comp_price = 3550500 2) year_sold = 2018 3) baths = 5.5  Cons: 1) rooms = 10.5 2) beds = 5 3) lot_sf = 2138.0 
1221,"734 Madrid St, San Francisco, CA 94112",10 - Excelsior,10030,871000,1018195,147195,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10030  Cons: 1) comp_price = 798553 2) latitude = 37.717934 3) baths = 1.0 
1222,"75 Van Buren St, San Francisco, CA 94131",5 - Glen Park,5010,2310000,1677283,-632716,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) rooms = 4.0  Cons: 1) lot_sf = 2169.0 2) latitude = 37.7361 3) street_name = Van Buren 
1223,"1801 Diamond St, San Francisco, CA 94131",5 - Noe Valley,5030,1900000,2311666,411666,Pros: 1) comp_price = 2475996 2) year_sold = 2018 3) park_leased = ONST  Cons: 1) street_name = Diamond 2) nid = 5030 3) beds = 3 
1224,"4284 26th St, San Francisco, CA 94131",5 - Noe Valley,5030,2225000,2139348,-85651,Pros: 1) comp_price = 2469512 2) year_sold = 2018 3) view_count = 6  Cons: 1) park_leased = 0 2) lot_sf = 2278.0 3) beds = 4 
1225,"598 28th St, San Francisco, CA 94131",5 - Noe Valley,5030,1750000,1859493,109493,Pros: 1) year_sold = 2018 2) comp_price = 1845440 3) park_leased = ONST  Cons: 1) sf = 1350 2) view_count = 1 3) nid = 5030 
1226,"179 Brompton Ave, San Francisco, CA 94131",5 - Glen Park,5010,1760000,1349404,-410595,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) longitude = -122.4353  Cons: 1) comp_price = 1329528 2) latitude = 37.732708 3) street_name = Brompton 
1227,"1139 Athens St, San Francisco, CA 94112-4407",10 - Crocker Amazon,10020,1360000,1341657,-18342,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10020  Cons: 1) comp_price = 1214341 2) latitude = 37.712517 3) rooms = 7.0 
1228,"584 28th St, San Francisco, CA 94110",5 - Noe Valley,5030,1895000,2019398,124398,Pros: 1) year_sold = 2018 2) comp_price = 2085900 3) park_leased = ONST  Cons: 1) baths = 1.0 2) nid = 5030 3) sf = 1667 
1229,"255 Tingley St, San Francisco, CA 94112",10 - Mission Terrace,10080,931000,1203651,272651,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10080  Cons: 1) comp_price = 936171 2) latitude = 37.730323999999996 3) street_name = Tingley 
1230,"236 Winding Way, San Francisco, CA 94112",10 - Crocker Amazon,10020,1115000,1210363,95363,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) nid = 10020  Cons: 1) comp_price = 1213580 2) latitude = 37.709454 3) rooms = 10.0 
1231,"122 Sussex St, San Francisco, CA 94131",5 - Glen Park,5010,1165000,1399778,234778,Pros: 1) year_sold = 2018 2) park_leased = ONST 3) lot_sf = 2996.0  Cons: 1) baths = 1.0 2) comp_price = 1501626 3) latitude = 37.737087 
